,District,No of Positive cases,Lat,Long
0,ANDAMAN,10.0,10.0001051,93.0000194
1,ANANTAPUR,2.0,14.6546235,77.55625984224562
2,CHITTOOR,10.0,13.1601048,79.15555061803596
3,EAST GODAVARI,11.0,17.233496,81.7225986
4,GUNTUR,30.0,16.2915189,80.4541588
5,KADAPA,23.0,14.4752936,78.8216861
6,KRISHNA,27.0,16.6691525,80.7190024
7,KURNOOL,4.0,15.8309251,78.0425373
8,NELLORE,32.0,14.4493717,79.9873763
9,PRAKASAM,21.0,15.5,79.5
10,VISAKHAPATNAM,15.0,17.7231276,83.3012842
11,WEST GODAVARI,15.0,17.0,81.166667
12,LOHIT,1.0,28.035016149999997,96.17135154220676
13,CACHAR,1.0,24.758639950000003,92.88166475768219
14,DHUBRI,1.0,26.01894625,89.94188952461522
15,GOALPARA,3.0,26.1783623,90.6226683
16,GOLAGHAT,9.0,26.40490095,94.03209112120626
17,KAMRUP,1.0,26.12755515,91.2998714797357
18,Kamrup Metropolitan,1.0,26.13526375,91.86167062524619
19,KARIMGANJ,1.0,24.8483482,92.33221292310328
20,LAKHIMPUR,1.0,27.985060150000002,80.75384538357649
21,MARIGAON,4.0,26.290712,92.29221256765226
22,NALBARI,4.0,26.42386165,91.4512275462117
23,BEGUSARAI,1.0,25.5127194,86.09057109140021
24,GAYA,4.0,24.7964355,85.0079563
25,GOPALGANJ,3.0,26.4207265,84.37406407415165
26,LAKHISARAI,1.0,25.167702900000002,86.05935924304018
27,MUNGER,8.0,25.22081165,86.51720367235285
28,NALANDA,1.0,25.1364914,85.44365464855682
29,PATNA,5.0,25.6093239,85.1235252
30,SARAN,1.0,25.90835495,84.78074760594323
31,SIWAN,6.0,26.1310043,84.39125660595198
32,CHANDIGARH,18.0,30.7194022,76.7646552
33,BILASPUR,1.0,28.8680526,79.29838501460121
34,DURG,1.0,21.19903535,81.3979545573657
35,KORBA,1.0,22.51976955,82.62951462416818
36,RAIPUR,5.0,21.2379469,81.6336833
37,RAJNANDGAON,1.0,20.9727404,80.69155548263583
38,CENTRAL DELHI,18.0,28.69854835,77.21939141568413
39,EAST DELHI,16.0,28.6204767,77.30918071344418
40,NEW DELHI,17.0,28.6141793,77.2022662
41,NORTH DELHI,19.0,28.6141793,77.2022662
42,NORTH EAST DELHI,11.0,28.72330795,77.26685650778668
43,NORTH WEST DELHI,11.0,28.6141793,77.2022662
44,SHAHADARA,26.0,28.6733543,77.3253446
45,SOUTH DELHI,320.0,28.485169399999997,77.19637972381611
46,SOUTH EAST,26.0,30.7640468,76.2370253
47,SOUTH WEST DELHI,16.0,28.58644805,76.97915298462692
48,WEST DELHI,23.0,28.6479519,77.08556541088615
49,NORTH GOA,6.0,15.60444125,74.00172406307475
50,SOUTH GOA,1.0,15.21961365,74.1152813019196
51,AHMEDABAD,53.0,23.0216238,72.5797068
52,BHAVNAGAR,11.0,21.7718836,72.1416449
53,CHHOTA UDEPUR,1.0,22.3148736,74.0141067
54,GANDHI NAGAR,13.0,18.1813888,80.5470264
55,GIR SOMNATH,2.0,20.9911049,70.68806405046848
56,KUTCH,1.0,23.708787049999998,69.82747746941271
57,MAHESANA,1.0,23.666667,72.5
58,PANCHMAHAL,1.0,28.6271026,77.31016493548915
59,PATAN,1.0,23.77405735,71.68373465668734
60,PORBANDAR,3.0,21.6409,69.611
61,RAJKOT,10.0,22.3051991,70.8028335
62,SURAT,15.0,21.1864607,72.8081281
63,VADODARA,10.0,22.2973142,73.1942567
64,AMBALA,4.0,30.3843674,76.770421
65,FARIDABAD,6.0,28.402837,77.3085626
66,GURGAON,29.0,28.42826235,77.00270014657752
67,HISSAR,1.0,29.9686641,76.586226
68,KARNAL,1.0,29.6803266,76.9896254
69,NUH,3.0,28.097345150000002,77.05085582101852
70,PALWAL,4.0,28.12502575,77.35831300773046
71,PANCHKULA,2.0,30.616216450000003,77.04197804321875
72,PANIPAT,4.0,29.3912753,76.9771675
73,ROHTAK,1.0,28.9010899,76.5801935
74,SIRSA,3.0,29.583333,75.083333
75,SONEPAT,1.0,28.99197,77.0342633
76,KANGRA,3.0,32.166667,76.25
77,UNA,3.0,31.583333,76.25
78,BADGAM,9.0,33.909931900000004,74.6291442577981
79,BANDIPORA,17.0,34.4563234,75.18344578242946
80,BARAMULLA,14.0,34.205005650000004,74.36221081111597
81,GANDERBAL,1.0,34.193425500000004,74.83434976826678
82,JAMMU,9.0,32.7185614,74.8580917
83,KUPWARA,6.0,34.611023599999996,74.238478667319
84,PULWAMA,4.0,33.89829355,74.89634093792017
85,RAJOURI,3.0,33.3772495,74.3132332
86,SHOPIAN,6.0,33.718807,74.8333311
87,SRINAGAR,28.0,34.0747444,74.8204443
88,UDHAMPUR,9.0,33.0,75.166667
89,BOKARO,1.0,23.699127949999998,85.99106894165021
90,HAZARIBAGH,1.0,23.9675151,85.43884568595615
91,RANCHI,1.0,23.3700354,85.3250132
92,BAGALKOTE,1.0,16.28998085,75.58255865030114
93,BALLARI,5.0,15.2485413,76.8323648
94,BBMP,33.0,13.058135,77.5064622757628
95,BELAGAVI,3.0,15.8572666,74.5069343
96,BENGALURU (R),2.0,12.9791198,77.5912997
97,BENGALURU (U),22.0,12.9791198,77.5912997
98,BIDAR,10.0,18.083333,77.333333
99,CHIKKABALLAPUR,7.0,13.4352549,77.7306866
100,DAKSHIN KANNADA,11.0,12.8827367,75.0309089
101,DAVANAGERE,3.0,14.4661266,75.9206361
102,DHARWAD,1.0,15.4540505,75.0066516
103,KALBURGI,5.0,17.166667,77.083333
104,KODAGU,1.0,12.3822808,75.66523533586208
105,MYSURU,27.0,12.3051828,76.6553609
106,Tumkur,1.0,13.3400771,77.1006208
107,UDUPI,4.0,13.3419169,74.7473232
108,UTTARA KANNADA,8.0,14.724474149999999,74.64223734496612
109,ALAPPUZHA,3.0,9.48870055,76.41256410969626
110,CANNANORE(KANNUR),52.0,11.8762254,75.3738043
111,ERNAKULAM,24.0,10.038394700000001,76.5074145180173
112,IDUKKI,9.0,9.8497872,76.9797914
113,Kasaragod,136.0,12.421713050000001,75.19044977266321
114,KOLLAM,6.0,8.96699645,76.85828880345855
115,KOTTAYAM,6.0,9.62857045,76.6455250291479
116,Kozhikode,10.0,11.2446144,75.7759372
117,MALAPPURAM,12.0,11.10684475,76.10995510466662
118,PALAKKAD,7.0,10.7691989,76.6512469
119,PATHANAMTHITTA,11.0,9.283404399999998,76.96066275907359
120,THIRUVANANTHAPURAM,14.0,8.5058909,76.9570481
121,THRISSUR,13.0,10.5256264,76.2132542
122,WYANAD,3.0,11.2706393,75.7777503
123,KARGIL,3.0,34.42089435,75.66548598121861
124,LEH (LADAKH),11.0,34.1642029,77.5848133
125,BHOPAL,19.0,23.2530923,77.3962718
126,CHINDWARA,2.0,22.1203317,79.0037008
127,GWALIOR,2.0,26.2037247,78.1573628
128,INDORE,110.0,22.7203616,75.8681996
129,JABALPUR,8.0,23.1608938,79.9497702
130,Khargone,1.0,21.8187743,75.6064577
131,MORENA,14.0,26.166667,77.5
132,SHIVPURI,2.0,25.37524125,77.82811932629714
133,UJJAIN,7.0,23.174597,75.7851423
134,AHMEDNAGAR,17.0,19.162772500000003,74.85802430085195
135,AURANGABAD,3.0,19.877263,75.3390241
136,BULDHANA,4.0,20.583333,76.416667
137,GONDIA,1.0,21.455228,80.1962729
138,JALGAON,1.0,20.84351185,75.52592658756026
139,KOLHAPUR,2.0,16.7028412,74.2405329
140,MUMBAI,298.0,18.9387711,72.8353355
141,Mumbai Suburban,21.0,19.13095765,72.88593095460952
142,NAGPUR,18.0,21.1498134,79.0820556
143,NASHIK,1.0,20.0112475,73.7902364
144,OSMANABAD,1.0,18.16984395,76.11796321159572
145,Palghar,3.0,19.68086385,72.82537342511341
146,PUNE,62.0,18.521428,73.8544541
147,RAIGAD,2.0,18.4928092,73.13807095426539
148,RATNAGIRI,1.0,17.282607900000002,73.4569787039826
149,SANGLI,24.0,16.8502534,74.5948885
150,SATARA,3.0,17.63612885,74.29827807601782
151,SINDHUDURG (KUDAL),1.0,16.1121887,73.6798546
152,THANE,23.0,19.1943294,72.9701779
153,YAVATMAL,4.0,20.15,78.35
154,IMPHAL EAST,1.0,24.85154025,94.00947957721581
155,IMPHAL WEST,1.0,24.757326,93.85847858025147
156,AIZWAL WEST,1.0,23.860878800000002,92.98228203442551
157,BHADRAK,3.0,21.0633288,86.5053731
158,CUTTACK,1.0,20.4686,85.8792
159,JAJPUR,1.0,20.8522696,86.3385714
160,Khordha,,20.22564715,85.56059465125232
162,PURI,1.0,19.8076083,85.8252538
163,MAHE,1.0,11.7021978,75.5364701
164,PONDICHERRY,4.0,11.9340568,79.8306447
165,AMRITSAR,5.0,31.6343083,74.8736788
166,HOSHIARPUR,7.0,31.60857425,75.84644246890946
167,JALANDHAR,5.0,31.29201065,75.56805772253911
168,LUDHIANA,4.0,30.9090157,75.851601
169,MANSA,3.0,29.8769971,75.4889866137018
170,SBS Nagar,19.0,17.4149528,78.5423976
171,PATIALA,1.0,30.2090874,76.3398720856221
172,RUPNAGAR,1.0,31.09168085,76.5272673916138
173,SAS Nagar,12.0,30.6904481,76.7116382
174,AJMER,5.0,26.4691,74.639
175,ALWAR,5.0,27.639077049999997,76.6144524902045
176,BANSWARA,2.0,23.4930788,74.34840231310622
177,BHARATPUR,6.0,27.26521245,77.36912554739122
178,BHILWARA,27.0,25.48877345,74.69961283584024
179,BIKANER,3.0,28.0159286,73.3171367
180,CHURU,10.0,28.2061443,74.69190729963461
181,DAUSA,1.0,26.80486585,76.44374569929329
182,DHOLPUR,1.0,26.7009896,77.8967857
183,DUNGARPUR,3.0,23.666667,73.75
184,JAIPUR,54.0,26.916194,75.820349
185,JHUNJHUNU,15.0,28.1287995,75.3992581
186,JODHPUR,17.0,26.2967719,73.0351433
187,PALI,1.0,25.6040908,73.41560878556902
188,PRATAPGARH,2.0,25.75,81.75
189,SIKAR,1.0,27.662826000000003,75.02792628691331
190,TONK,16.0,26.12214725,75.66375373932236
191,UDAIPUR,4.0,24.578721,73.6862571
193,CHENGALPATTU,18.0,12.76657415,79.99931906821485
194,CHENNAI,81.0,13.0801721,80.2838331
195,COIMBATORE,29.0,11.0018115,76.9628425
196,DINDIGUL,43.0,10.3303299,78.0673979084697
197,ERODE,32.0,11.369204400000001,77.67662686841793
198,Kanchipuram,4.0,12.9647163,79.9839686
199,KARUR,20.0,10.9301522,78.08485454572889
200,MADURAI,15.0,9.9261153,78.1140983
201,NAGAPATTINAM,5.0,10.805627600000001,79.824659783024
202,Nagercoil,5.0,8.1880471,77.4290492
203,NAMAKKAL,21.0,11.2191319,78.23739801779963
204,RAMANATHAPURAM,2.0,9.3895523,78.85907071521498
205,RANIPET,5.0,12.9272641,79.3330076
206,SALEM,8.0,11.6612012,78.1602498
207,SIVAGANGAI,5.0,9.9650599,78.7204283237222
208,THANJAVUR,1.0,10.7860267,79.1381497
209,THENI,21.0,9.969664300000002,77.47420048524822
210,THIRUVALLUR,1.0,13.13014755,79.92435386254967
211,THIRUVARUR,12.0,10.73618605,79.63318659437627
212,THOOTHUKUDI,9.0,8.8052602,78.1452745
213,TIRUNELVELI,36.0,8.8082342,77.8114843
214,TIRUPATTUR,10.0,12.4983561,78.5618167
215,TIRUPPUR,1.0,10.78322705,77.52604780096844
216,TIRUVANNAMALAI,6.0,12.22721295,79.07015554906167
217,VELLORE,1.0,12.7948109,79.0006410968549
218,VILLUPURAM,9.0,11.9398285,79.4945645
219,VIRUDHUNAGAR,11.0,9.5208936,77.8784563961865
220,ADILABAD,9.0,19.5,78.5
221,BHUPALPALLY,1.0,18.4381466,79.8684969
222,GADWAL (JOGULAMBA),5.0,16.2347032,77.7946371
223,HYDERABAD,113.0,17.38878595,78.46106473453146
224,RANGA REDDY,16.0,12.9554461,80.2530374
225,JAGITYAL,2.0,18.8067995,78.9268284
226,JANGOAN,2.0,17.7557919,79.13238961179245
227,KAMAREDDY,10.0,18.316551,78.05393808043348
228,KARIMNAGAR,17.0,18.4346438,79.1322648
229,BHADRADRI KOTHAGUDEM,4.0,17.71534525,80.57149761778712
230,MAHABOOBNAGAR,4.0,16.3618339,78.0312527
231,MAHABUBABAD,1.0,17.7138983,80.04134252767227
232,MEDAK,5.0,17.9375095,78.21174498510584
233,MEDCHAL,15.0,17.6339929,78.4843146
234,NAGARKURNOOL,2.0,16.415762649999998,78.68304333132829
235,NALGONDA,13.0,16.8579636,79.21749353315548
236,NIZAMABAD,18.0,26.055317950000003,82.99313867937335
237,SANGAREDDY,6.0,17.86859205,77.8228199507381
238,SIDDIPET,1.0,18.005585099999998,78.89611304969961
239,SURYAPET,1.0,17.08001385,79.7925329742427
240,WARANGAL,22.0,17.9806094,79.5982115
241,WARANGAL(RURAL),2.0,17.94854255,79.81612399359742
242,YADADRI,52.0,17.42819665,79.09049097612105
243,AGRA,44.0,27.1752554,78.0098161
244,AZAMGARH,3.0,26.02269675,83.02887343114848
245,BAGHPAT,2.0,28.97240405,77.33315284938224
246,BANDA,1.0,25.5008211,80.499762
247,BAREILLY,6.0,28.457876,79.40557093743058
248,BASTI,5.0,27.25,83.0
249,BULANDSHAHAR,3.0,28.5246712,77.5996529
250,FIROZABAD,4.0,27.17736635,78.38991197951182
251,Gautam Buddha Nagar,55.0,28.36760975,77.59740326369902
252,GHAZIABAD,13.0,28.711241,77.4445372
253,GHAZIPUR,3.0,25.603508400000003,83.50745404887138
254,HARDOI,1.0,27.33857665,80.0975264641719
255,Hapur,1.0,28.740612499999997,77.83542556519009
256,HATHRAS,4.0,27.57324325,78.11173866751716
257,JAUNPUR,3.0,25.7955927,82.48834097504385
258,KANPUR,7.0,26.4609135,80.3217588
259,LAKHIMPUR KHERI,1.0,27.985060150000002,80.75384538357649
260,LUCKNOW,10.0,26.8381,80.9346001
261,MAHARAJGANJ,6.0,27.09254225,83.56696261338257
262,MEERUT,25.0,28.916667,77.683333
263,MORADABAD,1.0,28.8638424,78.80577833091104
264,PILIBHIT,2.0,28.495207649999998,80.10754080018077
265,PRATAPGARH,3.0,25.75,81.75
266,SAHARANPUR,13.0,29.9880774,77.5081299470512
267,SHAHJAHANPUR,1.0,27.912633149999998,79.74656294869826
268,SHAMLI,6.0,29.5008816,77.34838258540861
269,VARANASI,4.0,25.3356491,83.0076292
270,DEHRADUN,11.0,30.3255646,78.0436813
271,HARIDWAR,1.0,29.9384473,78.1452985
272,NAINITAL,5.0,29.2031392,79.4176945
273,PAURI GARHWAL,1.0,29.84591115,78.70766746320547
274,UDHAM SINGH NAGAR,4.0,29.048098799999998,79.4313133223357
275,HOOGHLY,4.0,22.9052114,88.3760639
276,HOWRAH,7.0,22.5882216,88.323139
277,JALPAIGURI,4.0,26.626483649999997,88.73407701468993
278,Kalimpong,7.0,27.07169,88.4729
279,KOLKATA,29.0,22.54541245,88.3567751581234
280,NADIA,5.0,23.48454125,88.55676307470536
281,North Pargana,3.0,24.5,87.5
282,PASCHIM MEDINIPUR,2.0,22.3599134,87.41331447600871
283,PURBA MEDINIPUR,7.0,22.06382145,87.74573460267038
284,South Pargana,1.0,24.5,87.5
